ts,solar,wind,cons,market,spot
2019-01-05 00:00:00+00:00,0.0,26964.6443,46874.0,31.438407710111434,25.12
2019-01-05 01:00:00+00:00,0.0,27516.7733,45495.0,31.25670694114731,24.12
2019-01-05 02:00:00+00:00,0.0,28163.4036,44935.0,31.22092219909023,22.04
2019-01-05 03:00:00+00:00,0.0,28909.248,45087.0,30.36301066200832,18.37
2019-01-05 04:00:00+00:00,0.0,28630.0568,44947.0,34.50755539971958,22.09
2019-01-05 05:00:00+00:00,0.0,28288.1888,45370.0,38.21291779248849,23.35
2019-01-05 06:00:00+00:00,0.0,27815.3993,48037.0,41.29333073094569,28.76
2019-01-05 07:00:00+00:00,102.0,27173.9476,51611.0,45.94155174278221,36.63
2019-01-05 08:00:00+00:00,707.0,26351.3222,54995.0,45.66286444693858,40.46
2019-01-05 09:00:00+00:00,1299.0,25357.7273,57040.0,47.49647492662386,45.85
2019-01-05 10:00:00+00:00,1670.0,23849.6987,58702.0,49.59921085774006,49.8
2019-01-05 11:00:00+00:00,1748.0,22292.766,58529.0,51.40746562930406,51.36
2019-01-05 12:00:00+00:00,1528.0,20791.603,57107.0,49.3460359810627,51.74
2019-01-05 13:00:00+00:00,1058.0,19430.5232,55682.0,48.02476103351342,51.92
2019-01-05 14:00:00+00:00,462.0,18252.5848,55655.0,51.45541740984037,53.22
2019-01-05 15:00:00+00:00,30.0,17254.4357,57044.0,56.85264797507808,56.62
2019-01-05 16:00:00+00:00,0.0,16712.5356,60277.0,57.492367510571874,56.92
2019-01-05 17:00:00+00:00,0.0,16223.5919,60772.0,55.33729091097526,61.64
2019-01-05 18:00:00+00:00,0.0,15740.8099,59089.0,51.18918686064066,59.44
2019-01-05 19:00:00+00:00,0.0,15223.9526,54992.0,47.224182651532985,52.75
2019-01-05 20:00:00+00:00,0.0,14649.4989,52446.0,43.83409679864298,51.9
2019-01-05 21:00:00+00:00,0.0,14015.0204,51465.0,42.69684111997402,51.38
2019-01-05 22:00:00+00:00,0.0,13696.0064,48278.0,39.88894378975928,49.96
2019-01-05 23:00:00+00:00,0.0,14417.5459,45354.0,41.74363583066671,50.29
2019-01-06 00:00:00+00:00,0.0,13690.2969,43105.0,38.85115864920746,47.72
2019-01-06 01:00:00+00:00,0.0,12983.5414,41791.0,41.33760194353905,48.38
2019-01-06 02:00:00+00:00,0.0,12341.1163,41436.0,41.28065334773233,48.02
2019-01-06 03:00:00+00:00,0.0,11779.4668,41408.0,38.527566357657975,44.23
2019-01-06 04:00:00+00:00,0.0,10918.8363,40756.0,42.64754382821137,47.17
2019-01-06 05:00:00+00:00,0.0,10125.8842,39905.0,43.475463881392265,48.19
2019-01-06 06:00:00+00:00,0.0,9397.8762,41268.0,43.85359222007603,49.11
2019-01-06 07:00:00+00:00,181.0,8728.6522,43806.0,44.47722915693226,50.44
2019-01-06 08:00:00+00:00,1132.0,8110.8238,47372.0,48.481977793947166,53.4
2019-01-06 09:00:00+00:00,2064.0,7539.3319,49932.0,50.08505677517046,56.55
2019-01-06 10:00:00+00:00,2643.0,7337.6413,52706.0,54.92742386797661,60.02
2019-01-06 11:00:00+00:00,2762.0,7195.3244,53388.0,55.502422928815136,60.22
2019-01-06 12:00:00+00:00,2410.0,7123.8164,51809.0,52.34490842570141,55.0
2019-01-06 13:00:00+00:00,1667.0,7131.8889,50833.0,48.16680252304712,52.39
2019-01-06 14:00:00+00:00,729.0,7226.618,50286.0,51.63393859375377,51.57
2019-01-06 15:00:00+00:00,50.0,7412.5527,51611.0,55.852224972435614,54.71
2019-01-06 16:00:00+00:00,0.0,7316.9929,55530.0,61.3096689274156,63.43
2019-01-06 17:00:00+00:00,0.0,7325.5102,56912.0,62.27884629178005,67.37
2019-01-06 18:00:00+00:00,0.0,7416.3234,55816.0,59.59835695297485,67.2
2019-01-06 19:00:00+00:00,0.0,7565.688,53598.0,53.74094319131167,66.03
2019-01-06 20:00:00+00:00,0.0,7751.0366,51914.0,49.39166716856123,55.36
2019-01-06 21:00:00+00:00,0.0,7956.1863,51814.0,50.97233475863164,58.59
2019-01-06 22:00:00+00:00,0.0,7814.9368,49043.0,46.57531135144272,53.7
2019-01-06 23:00:00+00:00,0.0,8362.8597,48118.0,48.75426565949225,46.03
2019-01-07 00:00:00+00:00,0.0,8523.7021,46387.0,47.55790079857469,47.98
2019-01-07 01:00:00+00:00,0.0,8295.3946,45896.0,43.50942797599799,47.84
2019-01-07 02:00:00+00:00,0.0,8351.9859,46334.0,43.38367611522387,46.11
2019-01-07 03:00:00+00:00,0.0,8595.8593,47893.0,46.62612034837687,46.08
2019-01-07 04:00:00+00:00,0.0,8113.9675,51588.0,48.19906754272496,47.62
2019-01-07 05:00:00+00:00,0.0,7872.74,59799.0,53.34415716347388,55.77
2019-01-07 06:00:00+00:00,0.0,7654.7727,66575.0,69.86537540517303,68.61
2019-01-07 07:00:00+00:00,117.0,7583.4476,69603.0,73.60702087665975,74.15
2019-01-07 08:00:00+00:00,987.0,7482.0241,70147.0,73.19427589763819,74.93
2019-01-07 09:00:00+00:00,1884.0,7410.3751,70994.0,70.79339865354108,73.59
2019-01-07 10:00:00+00:00,2458.0,9175.0525,71896.0,71.18862298408129,71.23
2019-01-07 11:00:00+00:00,2601.0,11031.3435,71861.0,68.46442242157681,68.79
2019-01-07 12:00:00+00:00,2298.0,13054.4305,71474.0,67.02699625743014,66.75
2019-01-07 13:00:00+00:00,1620.0,14389.3942,70479.0,66.97511243820887,62.47
2019-01-07 14:00:00+00:00,743.0,15793.7633,69914.0,67.15818780550546,53.25
2019-01-07 15:00:00+00:00,63.0,17170.2524,69922.0,63.675456586628805,53.26
2019-01-07 16:00:00+00:00,0.0,20124.6171,72581.0,65.68151859485303,53.42
2019-01-07 17:00:00+00:00,0.0,23602.203,72059.0,54.64393114183094,47.91
2019-01-07 18:00:00+00:00,0.0,27133.7056,70542.0,50.73599169097517,42.05
2019-01-07 19:00:00+00:00,0.0,30413.7425,66394.0,47.299471388102056,40.96
2019-01-07 20:00:00+00:00,0.0,32876.1203,62940.0,38.70999941927996,32.04
2019-01-07 21:00:00+00:00,0.0,34838.6268,60352.0,29.353048013217325,20.82
2019-01-07 22:00:00+00:00,0.0,35677.8804,56065.0,19.87259723087672,1.84
2019-01-07 23:00:00+00:00,0.0,34318.1273,52810.0,12.06212441797856,17.94
2019-01-08 00:00:00+00:00,0.0,34550.3348,50723.0,10.519927794230227,20.91
2019-01-08 01:00:00+00:00,0.0,34673.2638,49879.0,6.002974029735499,7.78
2019-01-08 02:00:00+00:00,0.0,35045.5314,50194.0,10.757293372470311,14.33
2019-01-08 03:00:00+00:00,0.0,35309.2349,51422.0,15.45827053212481,18.56
2019-01-08 04:00:00+00:00,0.0,36821.8323,54513.0,19.71933472994392,18.57
2019-01-08 05:00:00+00:00,0.0,38429.4347,61824.0,41.41487258837959,35.81
2019-01-08 06:00:00+00:00,0.0,39683.7893,68176.0,48.88747925238056,43.87
2019-01-08 07:00:00+00:00,159.0,41347.9388,70781.0,51.76793306831424,46.93
2019-01-08 08:00:00+00:00,1266.0,42214.9263,71052.0,48.42011372149755,43.88
2019-01-08 09:00:00+00:00,2419.0,42407.2003,71696.0,46.53593919192972,43.85
2019-01-08 10:00:00+00:00,3156.0,41783.7159,72431.0,43.93821334566965,46.74
